galaxy,n_points,mode,scaling,exact_match_pct,rmse_km_s,rmse_newton_km_s,bit0_acc,bit1_acc,bit2_acc,bit3_acc,bit4_acc,bit5_acc,bit6_acc,bit7_acc
NGC3726,12,max-latch,m33,83.33,25.79,35.31,91.67,91.67,83.33,83.33,91.67,91.67,100.0,100.0
NGC3726,12,hybrid,m33,83.33,19.59,35.31,91.67,91.67,83.33,83.33,91.67,91.67,100.0,91.67
NGC3741,21,macros,m33,0.0,23.18,25.08,47.62,71.43,57.14,47.62,47.62,57.14,66.67,100.0
NGC3741,21,highbits,m33,0.0,17.39,25.08,47.62,33.33,42.86,76.19,52.38,42.86,66.67,100.0
NGC3741,21,max-latch,m33,0.0,19.41,25.08,42.86,71.43,61.9,47.62,57.14,42.86,52.38,100.0
NGC3741,21,hybrid,m33,0.0,16.96,25.08,42.86,71.43,61.9,47.62,57.14,42.86,66.67,100.0
NGC3769,12,macros,m33,8.33,5.83,38.65,16.67,50.0,66.67,41.67,66.67,41.67,91.67,91.67
NGC3769,12,highbits,m33,0.0,9.66,38.65,83.33,50.0,58.33,41.67,50.0,66.67,91.67,91.67
NGC3769,12,max-latch,m33,0.0,14.29,38.65,91.67,50.0,33.33,58.33,41.67,66.67,91.67,100.0
NGC3769,12,hybrid,m33,0.0,10.55,38.65,91.67,50.0,33.33,58.33,41.67,66.67,91.67,91.67
NGC3877,13,macros,m33,0.0,29.31,29.11,7.69,15.38,7.69,7.69,15.38,15.38,84.62,100.0
NGC3877,13,highbits,m33,76.92,35.69,29.11,100.0,84.62,92.31,92.31,92.31,92.31,84.62,100.0
NGC3877,13,max-latch,m33,76.92,47.96,29.11,100.0,84.62,92.31,92.31,92.31,92.31,84.62,92.31
NGC3877,13,hybrid,m33,76.92,35.69,29.11,100.0,84.62,92.31,92.31,92.31,92.31,84.62,100.0
NGC3893,10,macros,m33,0.0,8.41,33.81,10.0,0.0,0.0,0.0,10.0,10.0,100.0,90.0
NGC3893,10,highbits,m33,90.0,15.62,33.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0
NGC3893,10,max-latch,m33,100.0,20.6,33.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC3893,10,hybrid,m33,90.0,15.62,33.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0
NGC3917,17,macros,m33,5.88,23.03,26.01,17.65,35.29,17.65,17.65,35.29,35.29,88.24,94.12
NGC3917,17,highbits,m33,52.94,22.38,26.01,82.35,64.71,94.12,82.35,76.47,64.71,88.24,94.12
NGC3917,17,max-latch,m33,52.94,26.37,26.01,82.35,64.71,94.12,82.35,76.47,64.71,88.24,88.24
NGC3917,17,hybrid,m33,52.94,22.38,26.01,82.35,64.71,94.12,82.35,76.47,64.71,88.24,94.12
NGC3949,7,macros,m33,0.0,8.62,32.03,0.0,14.29,0.0,0.0,14.29,0.0,100.0,85.71
NGC3949,7,highbits,m33,85.71,15.18,32.03,100.0,85.71,100.0,100.0,85.71,100.0,100.0,85.71
NGC3949,7,max-latch,m33,85.71,21.4,32.03,100.0,85.71,100.0,100.0,85.71,100.0,100.0,100.0
NGC3949,7,hybrid,m33,85.71,15.18,32.03,100.0,85.71,100.0,100.0,85.71,100.0,100.0,85.71
NGC3953,8,macros,m33,0.0,9.15,18.27,12.5,0.0,0.0,0.0,12.5,12.5,100.0,87.5
NGC3953,8,highbits,m33,87.5,11.44,18.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5
NGC3953,8,max-latch,m33,100.0,17.45,18.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC3953,8,hybrid,m33,87.5,11.44,18.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5
NGC3972,10,macros,m33,0.0,19.44,21.17,30.0,30.0,40.0,40.0,60.0,60.0,80.0,100.0
NGC3972,10,highbits,m33,20.0,28.99,21.17,50.0,50.0,70.0,80.0,60.0,50.0,80.0,100.0
NGC3972,10,max-latch,m33,20.0,33.08,21.17,50.0,50.0,70.0,80.0,60.0,50.0,70.0,90.0
NGC3972,10,hybrid,m33,20.0,28.99,21.17,50.0,50.0,70.0,80.0,60.0,50.0,80.0,100.0
NGC3992,9,macros,m33,0.0,15.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,88.89
NGC3992,9,highbits,m33,88.89,21.19,51.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89
NGC3992,9,max-latch,m33,100.0,22.55,51.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC3992,9,hybrid,m33,88.89,21.19,51.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89
NGC4010,12,macros,m33,0.0,24.38,17.71,33.33,50.0,41.67,58.33,50.0,41.67,83.33,83.33
NGC4010,12,highbits,m33,0.0,34.82,17.71,66.67,41.67,58.33,50.0,66.67,66.67,83.33,83.33
NGC4010,12,max-latch,m33,0.0,34.82,17.71,66.67,41.67,58.33,50.0,66.67,66.67,83.33,83.33
NGC4010,12,hybrid,m33,0.0,34.82,17.71,66.67,41.67,58.33,50.0,66.67,66.67,83.33,83.33
NGC4013,36,macros,m33,0.0,15.63,39.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,97.22
NGC4013,36,highbits,m33,97.22,22.46,39.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.22
NGC4013,36,max-latch,m33,100.0,22.26,39.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC4013,36,hybrid,m33,97.22,22.46,39.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.22
NGC4051,7,macros,m33,0.0,14.33,29.68,14.29,14.29,14.29,0.0,28.57,28.57,100.0,85.71
NGC4051,7,highbits,m33,71.43,20.29,29.68,100.0,85.71,85.71,100.0,85.71,85.71,100.0,85.71
NGC4051,7,max-latch,m33,71.43,24.44,29.68,100.0,85.71,85.71,100.0,85.71,85.71,100.0,100.0
NGC4051,7,hybrid,m33,71.43,20.29,29.68,100.0,85.71,85.71,100.0,85.71,85.71,100.0,85.71
NGC4068,6,macros,m33,16.67,18.55,6.03,50.0,50.0,50.0,50.0,50.0,66.67,66.67,100.0
NGC4068,6,highbits,m33,0.0,14.32,6.03,66.67,66.67,50.0,66.67,33.33,50.0,66.67,100.0
NGC4068,6,max-latch,m33,0.0,12.36,6.03,66.67,66.67,50.0,66.67,33.33,50.0,50.0,100.0
NGC4068,6,hybrid,m33,0.0,14.32,6.03,66.67,66.67,50.0,66.67,33.33,50.0,66.67,100.0
NGC4085,7,macros,m33,0.0,20.97,33.54,28.57,57.14,14.29,42.86,14.29,42.86,85.71,100.0
NGC4085,7,highbits,m33,28.57,29.35,33.54,71.43,42.86,85.71,57.14,85.71,57.14,85.71,100.0
NGC4085,7,max-latch,m33,28.57,42.51,33.54,71.43,42.86,85.71,57.14,85.71,57.14,85.71,85.71
NGC4085,7,hybrid,m33,28.57,29.35,33.54,71.43,42.86,85.71,57.14,85.71,57.14,85.71,100.0
NGC4088,12,macros,m33,0.0,16.11,50.79,8.33,0.0,0.0,0.0,8.33,16.67,91.67,91.67
NGC4088,12,highbits,m33,91.67,21.85,50.79,100.0,100.0,100.0,100.0,100.0,91.67,91.67,91.67
NGC4088,12,max-latch,m33,91.67,32.68,50.79,100.0,100.0,100.0,100.0,100.0,91.67,91.67,100.0
NGC4088,12,hybrid,m33,91.67,21.85,50.79,100.0,100.0,100.0,100.0,100.0,91.67,91.67,91.67
NGC4100,24,macros,m33,0.0,13.59,29.36,4.17,0.0,0.0,4.17,8.33,4.17,100.0,95.83
NGC4100,24,highbits,m33,95.83,22.93,29.36,100.0,100.0,100.0,95.83,95.83,100.0,100.0,95.83
NGC4100,24,max-latch,m33,95.83,26.5,29.36,100.0,100.0,100.0,95.83,95.83,100.0,100.0,100.0
NGC4100,24,hybrid,m33,95.83,22.93,29.36,100.0,100.0,100.0,95.83,95.83,100.0,100.0,95.83
NGC4138,7,macros,m33,0.0,26.17,31.52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.71
NGC4138,7,highbits,m33,85.71,34.22,31.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71
NGC4138,7,max-latch,m33,100.0,34.58,31.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC4138,7,hybrid,m33,85.71,34.22,31.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71
NGC4157,17,macros,m33,0.0,14.19,40.01,5.88,0.0,0.0,5.88,5.88,5.88,94.12,94.12
NGC4157,17,highbits,m33,94.12,21.35,40.01,100.0,100.0,100.0,94.12,100.0,100.0,94.12,94.12
NGC4157,17,max-latch,m33,94.12,30.66,40.01,100.0,100.0,100.0,94.12,100.0,100.0,94.12,100.0
NGC4157,17,hybrid,m33,94.12,21.35,40.01,100.0,100.0,100.0,94.12,100.0,100.0,94.12,94.12
NGC4183,23,macros,m33,0.0,11.25,33.26,17.39,65.22,47.83,65.22,17.39,78.26,78.26,95.65
NGC4183,23,highbits,m33,0.0,10.5,33.26,60.87,26.09,65.22,34.78,69.57,26.09,78.26,95.65
NGC4183,23,max-latch,m33,0.0,14.25,33.26,78.26,34.78,56.52,30.43,78.26,26.09,73.91,91.3
NGC4183,23,hybrid,m33,0.0,10.56,33.26,78.26,34.78,56.52,30.43,78.26,26.09,78.26,95.65
NGC4214,14,macros,m33,0.0,11.63,33.48,42.86,35.71,35.71,85.71,21.43,78.57,78.57,71.43
NGC4214,14,highbits,m33,0.0,9.67,33.48,42.86,35.71,28.57,50.0,42.86,50.0,78.57,71.43
NGC4214,14,max-latch,m33,0.0,6.06,33.48,50.0,35.71,71.43,21.43,71.43,85.71,21.43,85.71
NGC4214,14,hybrid,m33,0.0,9.96,33.48,50.0,35.71,71.43,21.43,71.43,85.71,78.57,71.43
NGC4217,19,macros,m33,0.0,28.72,64.41,10.53,5.26,5.26,5.26,5.26,10.53,94.74,100.0
NGC4217,19,highbits,m33,89.47,30.57,64.41,94.74,94.74,94.74,94.74,100.0,94.74,94.74,100.0
NGC4217,19,max-latch,m33,89.47,41.79,64.41,94.74,94.74,94.74,94.74,100.0,94.74,94.74,94.74
NGC4217,19,hybrid,m33,89.47,30.57,64.41,94.74,94.74,94.74,94.74,100.0,94.74,94.74,100.0
NGC4389,6,macros,m33,0.0,21.21,57.4,33.33,50.0,33.33,33.33,16.67,50.0,50.0,66.67
NGC4389,6,highbits,m33,0.0,35.46,57.4,66.67,50.0,66.67,66.67,83.33,50.0,50.0,66.67
NGC4389,6,max-latch,m33,0.0,45.99,57.4,66.67,50.0,66.67,66.67,83.33,50.0,50.0,50.0
NGC4389,6,hybrid,m33,0.0,35.46,57.4,66.67,50.0,66.67,66.67,83.33,50.0,50.0,66.67
NGC4559,32,macros,m33,0.0,16.8,23.93,21.88,34.38,46.88,34.38,81.25,34.38,87.5,96.88
NGC4559,32,highbits,m33,0.0,18.45,23.93,78.12,65.62,56.25,65.62,18.75,68.75,87.5,96.88
NGC4559,32,max-latch,m33,0.0,22.05,23.93,78.12,65.62,56.25,65.62,18.75,68.75,90.62,93.75
NGC4559,32,hybrid,m33,0.0,18.45,23.93,78.12,65.62,56.25,65.62,18.75,68.75,87.5,96.88
NGC5005,18,macros,m33,0.0,12.87,57.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.44
NGC5005,18,highbits,m33,94.44,16.94,57.03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44
NGC5005,18,max-latch,m33,100.0,20.22,57.03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC5005,18,hybrid,m33,94.44,16.94,57.03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44
NGC5033,22,macros,m33,0.0,12.52,61.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.45
NGC5033,22,highbits,m33,95.45,17.3,61.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45
NGC5033,22,max-latch,m33,100.0,17.76,61.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC5033,22,hybrid,m33,95.45,17.3,61.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45
NGC5055,28,macros,m33,0.0,13.18,58.27,0.0,3.57,3.57,3.57,0.0,0.0,100.0,96.43
NGC5055,28,highbits,m33,96.43,21.58,58.27,100.0,96.43,96.43,96.43,100.0,100.0,100.0,96.43
NGC5055,28,max-latch,m33,96.43,25.34,58.27,100.0,96.43,96.43,96.43,100.0,100.0,100.0,100.0
NGC5055,28,hybrid,m33,96.43,21.58,58.27,100.0,96.43,96.43,96.43,100.0,100.0,100.0,96.43
NGC5371,19,macros,m33,0.0,16.6,35.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.74
NGC5371,19,highbits,m33,94.74,23.27,35.63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
NGC5371,19,max-latch,m33,100.0,23.95,35.63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC5371,19,hybrid,m33,94.74,23.27,35.63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
NGC5585,24,macros,m33,0.0,24.09,24.18,45.83,45.83,41.67,33.33,62.5,37.5,50.0,58.33
NGC5585,24,highbits,m33,0.0,24.99,24.18,62.5,41.67,58.33,79.17,37.5,45.83,50.0,58.33
NGC5585,24,max-latch,m33,0.0,17.4,24.18,66.67,41.67,62.5,58.33,54.17,54.17,33.33,58.33
NGC5585,24,hybrid,m33,0.0,24.87,24.18,66.67,41.67,62.5,58.33,54.17,54.17,50.0,58.33
NGC5907,19,macros,m33,0.0,10.36,43.26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.74
NGC5907,19,highbits,m33,94.74,14.96,43.26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
NGC5907,19,max-latch,m33,100.0,15.58,43.26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC5907,19,hybrid,m33,94.74,14.96,43.26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
NGC5985,33,macros,m33,0.0,16.62,80.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.97
NGC5985,33,highbits,m33,96.97,24.64,80.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.97
NGC5985,33,max-latch,m33,100.0,27.57,80.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC5985,33,hybrid,m33,96.97,24.64,80.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.97
NGC6015,44,macros,m33,0.0,24.3,43.28,11.36,6.82,9.09,4.55,9.09,9.09,97.73,97.73
NGC6015,44,highbits,m33,81.82,28.35,43.28,86.36,93.18,95.45,95.45,88.64,88.64,97.73,97.73
NGC6015,44,max-latch,m33,81.82,30.65,43.28,86.36,93.18,95.45,95.45,88.64,88.64,97.73,95.45
NGC6015,44,hybrid,m33,81.82,28.35,43.28,86.36,93.18,95.45,95.45,88.64,88.64,97.73,97.73
NGC6195,23,macros,m33,0.0,11.71,43.85,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.65
NGC6195,23,highbits,m33,95.65,15.94,43.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.65
NGC6195,23,max-latch,m33,100.0,21.89,43.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC6195,23,hybrid,m33,95.65,15.94,43.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.65
NGC6503,31,macros,m33,0.0,6.64,41.67,3.23,51.61,41.94,29.03,35.48,64.52,93.55,96.77
NGC6503,31,highbits,m33,0.0,6.85,41.67,67.74,54.84,54.84,51.61,54.84,48.39,93.55,96.77
NGC6503,31,max-latch,m33,0.0,10.16,41.67,96.77,48.39,58.06,70.97,64.52,35.48,93.55,100.0
NGC6503,31,hybrid,m33,0.0,7.51,41.67,96.77,48.39,58.06,70.97,64.52,35.48,93.55,96.77
NGC6674,15,macros,m33,0.0,24.44,77.69,0.0,0.0,0.0,0.0,0.0,0.0,100.0,93.33
NGC6674,15,highbits,m33,93.33,41.97,77.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33
NGC6674,15,max-latch,m33,100.0,46.09,77.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC6674,15,hybrid,m33,93.33,41.97,77.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33
NGC6789,4,macros,m33,0.0,29.56,22.35,25.0,50.0,25.0,25.0,75.0,50.0,50.0,100.0
NGC6789,4,highbits,m33,0.0,27.27,22.35,75.0,75.0,75.0,25.0,50.0,50.0,50.0,100.0
NGC6789,4,max-latch,m33,25.0,18.17,22.35,75.0,75.0,75.0,25.0,50.0,50.0,75.0,100.0
NGC6789,4,hybrid,m33,0.0,27.27,22.35,75.0,75.0,75.0,25.0,50.0,50.0,50.0,100.0
NGC6946,58,macros,m33,0.0,15.26,27.3,3.45,3.45,1.72,1.72,0.0,0.0,100.0,98.28
NGC6946,58,highbits,m33,91.38,22.65,27.3,96.55,96.55,98.28,98.28,100.0,100.0,100.0,98.28
NGC6946,58,max-latch,m33,93.1,22.95,27.3,96.55,96.55,98.28,98.28,100.0,100.0,100.0,100.0
NGC6946,58,hybrid,m33,91.38,22.65,27.3,96.55,96.55,98.28,98.28,100.0,100.0,100.0,98.28
NGC7331,36,macros,m33,0.0,9.3,70.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0,97.22
NGC7331,36,highbits,m33,97.22,16.36,70.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.22
NGC7331,36,max-latch,m33,100.0,17.17,70.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC7331,36,hybrid,m33,97.22,16.36,70.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.22
NGC7793,46,macros,m33,4.35,18.59,11.49,45.65,52.17,65.22,43.48,50.0,56.52,43.48,60.87
NGC7793,46,highbits,m33,0.0,28.6,11.49,52.17,58.7,32.61,54.35,56.52,30.43,43.48,60.87
NGC7793,46,max-latch,m33,0.0,31.76,11.49,52.17,58.7,32.61,54.35,56.52,30.43,56.52,60.87
NGC7793,46,hybrid,m33,0.0,28.6,11.49,52.17,58.7,32.61,54.35,56.52,30.43,43.48,60.87
NGC7814,18,macros,m33,0.0,32.06,53.46,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.44
NGC7814,18,highbits,m33,94.44,43.02,53.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44
NGC7814,18,max-latch,m33,100.0,42.6,53.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NGC7814,18,hybrid,m33,94.44,43.02,53.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44
PGC51017,6,macros,m33,0.0,1.27,4.52,33.33,33.33,66.67,33.33,0.0,100.0,66.67,100.0
PGC51017,6,highbits,m33,0.0,1.12,4.52,50.0,33.33,33.33,50.0,16.67,83.33,66.67,100.0
PGC51017,6,max-latch,m33,0.0,1.0,4.52,50.0,50.0,33.33,50.0,66.67,83.33,16.67,100.0
PGC51017,6,hybrid,m33,0.0,1.13,4.52,50.0,50.0,33.33,50.0,66.67,83.33,66.67,100.0
UGC00128,22,macros,m33,0.0,19.09,65.11,31.82,40.91,50.0,31.82,9.09,18.18,90.91,100.0
UGC00128,22,highbits,m33,4.55,16.55,65.11,54.55,50.0,27.27,59.09,45.45,68.18,90.91,100.0
UGC00128,22,max-latch,m33,0.0,11.11,65.11,59.09,50.0,45.45,63.64,22.73,95.45,95.45,100.0
UGC00128,22,hybrid,m33,0.0,14.58,65.11,59.09,50.0,45.45,63.64,22.73,95.45,90.91,100.0
UGC00191,9,macros,m33,0.0,13.14,23.83,33.33,33.33,33.33,55.56,44.44,66.67,66.67,88.89
UGC00191,9,highbits,m33,0.0,10.05,23.83,66.67,44.44,33.33,66.67,55.56,22.22,66.67,88.89
UGC00191,9,max-latch,m33,0.0,11.62,23.83,77.78,44.44,44.44,55.56,66.67,22.22,66.67,88.89
UGC00191,9,hybrid,m33,0.0,9.53,23.83,77.78,44.44,44.44,55.56,66.67,22.22,66.67,88.89
UGC00634,4,macros,m33,0.0,9.19,48.76,50.0,75.0,50.0,25.0,75.0,75.0,75.0,75.0
UGC00634,4,highbits,m33,0.0,9.47,48.76,75.0,75.0,50.0,50.0,50.0,0.0,75.0,75.0
UGC00634,4,max-latch,m33,0.0,14.61,48.76,50.0,50.0,25.0,0.0,75.0,50.0,75.0,100.0
UGC00634,4,hybrid,m33,0.0,11.35,48.76,50.0,50.0,25.0,0.0,75.0,50.0,75.0,75.0
UGC00731,12,macros,m33,0.0,22.64,36.17,58.33,66.67,41.67,25.0,75.0,58.33,66.67,91.67
UGC00731,12,highbits,m33,0.0,19.14,36.17,33.33,66.67,33.33,66.67,66.67,41.67,66.67,91.67
UGC00731,12,max-latch,m33,0.0,17.8,36.17,41.67,66.67,33.33,66.67,66.67,41.67,75.0,91.67
UGC00731,12,hybrid,m33,0.0,19.12,36.17,41.67,66.67,33.33,66.67,66.67,41.67,66.67,91.67
UGC00891,5,macros,m33,0.0,24.45,25.54,40.0,60.0,60.0,60.0,80.0,20.0,60.0,100.0
UGC00891,5,highbits,m33,0.0,20.03,25.54,80.0,40.0,80.0,20.0,80.0,60.0,60.0,100.0
UGC00891,5,max-latch,m33,0.0,15.69,25.54,60.0,20.0,40.0,40.0,60.0,80.0,80.0,100.0
UGC00891,5,hybrid,m33,0.0,19.23,25.54,60.0,20.0,40.0,40.0,60.0,80.0,60.0,100.0
UGC01230,11,macros,m33,0.0,25.16,43.74,63.64,63.64,63.64,54.55,72.73,81.82,54.55,90.91
UGC01230,11,highbits,m33,0.0,20.39,43.74,63.64,54.55,72.73,18.18,36.36,54.55,54.55,90.91
UGC01230,11,max-latch,m33,0.0,11.9,43.74,36.36,36.36,63.64,36.36,45.45,45.45,81.82,90.91
UGC01230,11,hybrid,m33,0.0,20.06,43.74,36.36,36.36,63.64,36.36,45.45,45.45,54.55,90.91
UGC01281,25,macros,m33,8.0,33.64,18.46,52.0,56.0,56.0,64.0,64.0,56.0,64.0,100.0
UGC01281,25,highbits,m33,0.0,29.04,18.46,52.0,48.0,36.0,36.0,40.0,60.0,64.0,100.0
UGC01281,25,max-latch,m33,0.0,22.03,18.46,56.0,52.0,36.0,40.0,36.0,60.0,88.0,100.0
UGC01281,25,hybrid,m33,0.0,28.99,18.46,56.0,52.0,36.0,40.0,36.0,60.0,64.0,100.0
UGC02023,5,macros,m33,0.0,11.97,8.85,60.0,20.0,80.0,40.0,40.0,40.0,20.0,40.0
UGC02023,5,highbits,m33,0.0,13.23,8.85,20.0,40.0,60.0,40.0,40.0,40.0,20.0,40.0
UGC02023,5,max-latch,m33,0.0,10.33,8.85,20.0,40.0,60.0,40.0,40.0,40.0,40.0,40.0
UGC02023,5,hybrid,m33,0.0,13.23,8.85,20.0,40.0,60.0,40.0,40.0,40.0,20.0,40.0
UGC02259,8,macros,m33,0.0,10.69,39.1,37.5,37.5,50.0,62.5,62.5,50.0,87.5,100.0
UGC02259,8,highbits,m33,0.0,8.14,39.1,50.0,50.0,75.0,75.0,50.0,50.0,87.5,100.0
UGC02259,8,max-latch,m33,12.5,7.67,39.1,37.5,50.0,62.5,62.5,62.5,62.5,100.0,100.0
UGC02259,8,hybrid,m33,12.5,7.57,39.1,37.5,50.0,62.5,62.5,62.5,62.5,87.5,100.0
UGC02455,8,macros,m33,0.0,14.78,35.38,50.0,37.5,50.0,50.0,62.5,50.0,62.5,12.5
UGC02455,8,highbits,m33,0.0,22.12,35.38,62.5,50.0,62.5,75.0,37.5,62.5,62.5,12.5
UGC02455,8,max-latch,m33,0.0,23.91,35.38,62.5,50.0,62.5,75.0,37.5,62.5,62.5,0.0
UGC02455,8,hybrid,m33,0.0,22.12,35.38,62.5,50.0,62.5,75.0,37.5,62.5,62.5,12.5
UGC02487,17,macros,m33,0.0,26.64,109.52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.12
UGC02487,17,highbits,m33,94.12,35.14,109.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.12
UGC02487,17,max-latch,m33,100.0,34.79,109.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGC02487,17,hybrid,m33,94.12,35.14,109.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.12
UGC02885,19,macros,m33,0.0,17.03,69.36,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.74
UGC02885,19,highbits,m33,94.74,24.0,69.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
UGC02885,19,max-latch,m33,100.0,23.33,69.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGC02885,19,hybrid,m33,94.74,24.0,69.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74
UGC02916,43,macros,m33,0.0,9.02,39.97,2.33,0.0,0.0,0.0,2.33,2.33,100.0,97.67
UGC02916,43,highbits,m33,97.67,12.65,39.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.67
UGC02916,43,max-latch,m33,100.0,13.5,39.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGC02916,43,hybrid,m33,97.67,12.65,39.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.67
UGC02953,115,macros,m33,0.0,36.24,62.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.13
UGC02953,115,highbits,m33,99.13,52.79,62.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.13
UGC02953,115,max-latch,m33,100.0,53.27,62.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGC02953,115,hybrid,m33,99.13,52.79,62.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.13
UGC03205,48,macros,m33,0.0,27.35,33.65,2.08,4.17,2.08,0.0,4.17,2.08,100.0,97.92
UGC03205,48,highbits,m33,95.83,32.16,33.65,97.92,95.83,97.92,100.0,95.83,97.92,100.0,97.92
UGC03205,48,max-latch,m33,95.83,36.04,33.65,97.92,95.83,97.92,100.0,95.83,97.92,100.0,100.0
UGC03205,48,hybrid,m33,95.83,32.16,33.65,97.92,95.83,97.92,100.0,95.83,97.92,100.0,97.92
UGC03546,30,macros,m33,0.0,38.4,72.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.67
UGC03546,30,highbits,m33,96.67,53.8,72.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.67
UGC03546,30,max-latch,m33,100.0,53.39,72.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGC03546,30,hybrid,m33,96.67,53.8,72.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.67
UGC03580,47,macros,m33,0.0,28.42,39.24,36.17,46.81,51.06,53.19,38.3,42.55,51.06,82.98
UGC03580,47,highbits,m33,0.0,43.23,39.24,65.96,51.06,46.81,48.94,61.7,55.32,51.06,82.98
UGC03580,47,max-latch,m33,0.0,43.79,39.24,65.96,53.19,48.94,48.94,63.83,57.45,51.06,80.85
UGC03580,47,hybrid,m33,0.0,43.24,39.24,65.96,53.19,48.94,48.94,63.83,57.45,51.06,82.98
UGC04278,25,macros,m33,4.0,28.1,27.67,48.0,48.0,48.0,40.0,52.0,56.0,84.0,92.0
UGC04278,25,highbits,m33,0.0,18.03,27.67,40.0,48.0,48.0,60.0,40.0,52.0,84.0,92.0
UGC04278,25,max-latch,m33,0.0,15.83,27.67,44.0,48.0,40.0,52.0,48.0,52.0,76.0,96.0
UGC04278,25,hybrid,m33,0.0,21.06,27.67,44.0,48.0,40.0,52.0,48.0,52.0,84.0,92.0
